Gene	GliNS1	G144	G166	G179	CB541	CB660
13CDNA73	4	0	6	1	0	5
15E1.2	75	74	222	458	215	167
182-FIP	118	127	555	231	334	114
2'-PDE	39	38	98	127	34	40
3'HEXO	18	20	76	111	121	112
3.8-1	0	0	1	0	0	0
384D8-2	3	3	4	4	3	3
76P	61	51	129	108	358	232
7h3	4	0	3	0	9	2
8D6A	1	1	1	0	0	0
A1BG	1	0	0	0	0	0
A2BP1	19	18	20	7	1	8
A2M	2724	2209	13	49	193	548
A4GALT	0	0	48	0	0	0
A4GNT	0	0	0	0	0	1
AAA1	2	0	0	0	0	0
AAAS	57	29	224	49	202	92
AACS	1904	1294	5073	5365	3737	3511
AADACL1	3	13	239	683	158	40
AADAT	18	5	36	24	22	36
AAK1	2	0	5	2	0	3
AAMP	215	170	397	383	512	384
AANAT	0	0	3	0	0	0
AARS	157	105	600	183	111	28
AARSD1	27	48	127	122	112	29
AARSL	21	10	68	11	55	22
AASDH	15	5	40	47	18	20
AASDHPPT	162	128	299	543	888	374
AASS	159	101	107	145	130	39
AATF	68	40	208	36	100	66
AATK	3	0	1	0	0	0
ABAT	493	838	79	281	8467	1515
ABC1	7	13	15	24	34	5
ABCA1	23	13	16	27	11	25
ABCA10	1	0	0	6	6	7
ABCA11	10	1	393	73	10	12
ABCA12	3	0	2	0	14	1
ABCA13	0	0	305	30	180	24
ABCA2	38	5	47	1	20	8
ABCA3	95	91	102	166	250	60
ABCA4	0	0	12	0	0	26
ABCA5	1	2	49	51	181	54
ABCA6	0	1	5	7	30	1
ABCA7	23	7	23	6	1	4
ABCA8	98	76	1	1	9	27
ABCA9	155	133	289	317	302	147
ABCB1	0	0	1	2	1	2
ABCB10	64	41	226	169	71	120
ABCB11	0	0	1	0	1	0
ABCB4	51	28	23	0	7	4
ABCB5	2	0	1	1	1	0
ABCB6	26	17	38	69	26	35
ABCB7	34	47	209	51	34	43
ABCB8	84	53	67	28	82	15
ABCB9	12	6	76	11	36	43
ABCC1	24	31	149	127	21	73
ABCC10	17	16	37	7	19	17
ABCC11	4	0	14	27	11	22
ABCC12	0	0	3	0	1	1
ABCC13	4	5	10	3	2	7
ABCC2	1	0	1	0	46	10
ABCC3	4	3	79	301	57	14
ABCC4	17	24	26	57	73	114
ABCC5	41	15	44	38	28	27
ABCC6	27	8	64	44	7	26
ABCC8	29	13	4	0	0	2
ABCC9	4	2	2	6	25	17
ABCD1	9	19	50	13	13	14
ABCD2	2	0	0	0	13	0
ABCD3	147	147	209	86	261	119
ABCD4	44	71	78	598	208	101
ABCE1	490	378	1780	790	567	813
ABCF1	68	39	151	32	58	89
ABCF2	42	42	113	36	90	20
ABCF3	35	29	43	32	21	15
ABCG1	1	5	23	0	3	4
ABCG2	48	29	14	19	10	1
ABCG4	0	0	1	0	0	0
ABHD1	0	1	4	1	3	3
ABHD10	6	14	21	16	6	3
ABHD11	1804	1182	3102	676	1161	1143
ABHD14A	44	37	72	8	219	126
ABHD14B	18	10	73	7	16	22
ABHD2	85	79	182	35	149	62
ABHD3	133	95	445	343	406	143
ABHD4	114	82	250	210	253	158
ABHD5	34	31	130	68	90	21
ABHD6	62	204	183	394	315	160
ABHD7	0	0	67	0	49	17
ABHD8	49	6	95	0	32	30
ABI1	275	199	242	257	510	164
ABI2	195	200	266	247	413	237
ABI3	0	0	0	0	0	1
ABI3BP	3	4	74	145	14	14
ABL1	112	67	152	94	223	144
ABL2	25	14	240	45	36	13
